"","x"
"ppsA",4216
"ppsR",349
"aroH",701
"ydiE",76
"ydiU",370
"ydiV",178
"nlpC",383
"btuD",352
"btuE",318
"btuC",129
"ihfA",2293
"pheT",4405
"pheS",1749
"pheM",47
"rplT",8506
"rpmI",8181
"infC",7537
"thrS",8563
"arpB",48
"yniD",5
"ydiY",220
"pfkB",371
"ydiZ",118
"yniA",532
"yniB",172
"yniC",225
"ydjM",11
"ydjN",3192
"ydjO",107
"cedA",21
"katE",1142
"chbG",99
"chbF",43
"chbR",81
"chbA",27
"chbC",34
"chbB",57
"osmE",730
"nadE",1555
"cho",149
"ves",178
"spy",106
"astE",17
"astB",32
"astD",26
"astA",15
"astC",20
"xthA",415
"ydjX",74
"ydjY",123
"ydjZ",86
"ynjA",91
"ynjB",220
"ynjC",74
"ynjD",43
"ynjE",471
"ynjF",58
"nudG",149
"ynjH",71
"gdhA",11372
"ynjI",276
"topB",1040
"selD",1701
"ydjA",645
"sppA",709
"ansA",446
"pncA",337
"ydjE",48
"ydjF",78
"ydjG",56
"ydjH",30
"ydjI",33
"ydjJ",28
"ydjK",13
"ydjL",27
"yeaC",299
"msrB",300
"gapA",31484
"yeaD",758
"yeaE",169
"mipA",1639
"yeaG",1334
"yeaH",430
"yeaI",32
"yeaJ",110
"yeaK",358
"yoaI",42
"yeaL",70
"yeaM",89
"yeaN",41
"yeaO",171
"yoaF",58
"yeaP",406
"yoaK",23
"yoaJ",20
"yeaQ",583
"yoaG",4
"yeaR",3
"leuE",50
"dmlR",149
"dmlA",96
"yeaV",23
"yeaW",20
"yeaX",38
"rnd",233
"fadD",163
"yeaY",238
"tsaB",224
"yoaA",303
"yoaB",500
"yoaC",147
"yoaH",69
"pabB",273
"nudL",194
"sdaA",264
"yoaD",83
"yoaE",570
"manX",2949
"manY",2762
"manZ",3002
"yobD",131
"mntP",27
"rlmA",136
"cspC",3037
"yobF",288
"yebO",218
"mgrB",33
"yobH",43
"kdgR",522
"yebQ",35
"htpX",1090
"prc",2502
"proQ",2346
"msrC",984
"yebS",126
"yebT",500
"rsmF",184
"yebV",303
"yebW",26
"pphA",86
"ryeA",4
