"","x"
"ynbE",14
"ydbL",42
"feaR",21
"feaB",85
"tynA",10
"paaZ",4
"paaA",1
"paaB",2
"paaC",1
"paaD",6
"paaE",4
"paaF",1
"paaG",3
"paaH",21
"paaI",2
"paaJ",27
"paaK",38
"paaX",77
"paaY",62
"ynbG",1
"ydbA",338
"ydbC",37
"ydbD",2
"ynbA",0
"ynbB",4
"ynbC",31
"ynbD",28
"azoR",95
"hrpA",553
"ydcF",100
"aldA",861
"gapC",666
"cybB",186
"rydC",17
"ydcA",25
"hokB",8
"mokB",0
"sokB",0
"trg",414
"ydcI",264
"ydcJ",26
"opgD",375
"ydcH",18
"rimL",35
"ydcK",35
"tehA",55
"tehB",182
"ydcL",225
"insP",28
"insQ",142
"ydcO",15
"ydcN",16
"ydcP",295
"yncJ",7
"hicA",10
"hicB",29
"ydcR",142
"ydcS",25
"ydcT",15
"ydcU",13
"ydcV",6
"patD",98
"yncL",24
"ydcX",11
"ydcY",123
"ydcZ",103
"mnaT",136
"curA",80
"mcbR",15
"yncD",56
"yncE",6618
"ansP",62
"yncG",11
"yncH",1
"rhsE",2
"ydcD",3
"yncI",7
"ydcC",2
"pptA",9
"yddH",28
"nhoA",46
"yddE",130
"narV",5
"narW",7
"narY",30
"narZ",45
"narU",6
"yddK",4
"yddL",0
"yddG",39
"fdnG",24
"fdnH",5
"fdnI",11
"yddM",49
"adhP",168
"maeA",969
"sra",172
"bdm",5
"osmC",276
"ddpF",52
"ddpD",8
"ddpC",19
"ddpB",5
"ddpA",30
"ddpX",7
"dosP",170
"dosC",192
"yddW",89
"gadC",137
"gadB",30
"pqqL",305
"yddB",257
"yddA",65
"ydeM",7
"ydeN",28
"ydeO",5
"safA",0
"ydeP",38
"ydeQ",2
"ydeR",1
"ydeS",1
"ydeT",1
"yneL",1
"hipA",123
"hipB",13
"yneO",158
"lsrK",49
"lsrR",53
"lsrA",9
"lsrC",7
"lsrD",6
"lsrB",14
"lsrF",26
"lsrG",11
"tam",47
"yneE",55
"uxaB",17
"yneF",35
"yneG",44
"glsB",94
"sad",133
"yneJ",52
"yneK",10
"ydeA",94
"marC",45
"marR",18
"marA",47
"marB",50
"eamA",211
"ydeE",37
"yneM",62
"mgrR",14
"dgcZ",31
"ydeI",5
"ydeJ",33
"dcp",822
"ydfG",656
"rspR",180
"ydfZ",48
"ydfI",17
"ydfJ",204
"ydfK",0
"pinQ",0
"tfaQ",0
"stfQ",0
