"","x"
"ycjO",3
"ycjP",2
"ycjQ",28
"ycjR",13
"ycjS",13
"ycjT",32
"ycjU",0
"ycjV",5
"ompG",1
"ycjW",33
"ycjX",190
"ycjF",173
"tyrR",559
"tpx",3569
"ycjG",191
"mpaA",158
"ymjC",5
"ymjD",0
"ycjY",10
"pgrR",52
"mppA",223
"ynaI",54
"ynaJ",374
"uspE",1119
"fnr",1538
"ogt",79
"abgT",13
"abgB",34
"abgA",28
"abgR",28
"mcaS",3
"smrA",65
"ydaM",167
"ydaN",195
"fnrS",9
"dbpA",129
"ttcA",279
"intR",36
"ydaQ",1
"ydaC",0
"ralA",0
"ralR",1
"recT",25
"recE",33
"racC",0
"ydaE",0
"kilR",1
"sieB",3
"ydaF",2
"ydaG",4
"racR",174
"ydaS",0
"ydaT",9
"ydaU",9
"ydaV",7
"ydaW",7
"rzpR",6
"rzoR",0
"trkG",60
"ynaK",5
"ydaY",4
"tmpR",17
"lomR",10
"stfR",26
"tfaR",1
"pinR",4
"ynaE",18
"ttcC",2
"uspF",93
"ompN",10
"micC",2
"pfo",650
"ydbJ",71
"hslJ",104
"ldhA",451
"ydbH",182
"ynbE",8
"ydbL",51
"feaR",39
"feaB",80
"tynA",39
"paaZ",7
"paaA",4
"paaB",2
"paaC",4
"paaD",3
"paaE",9
"paaF",8
"paaG",2
"paaH",17
"paaI",2
"paaJ",40
"paaK",59
"paaX",82
"paaY",82
"ynbG",0
"ydbA",413
"ydbC",65
"ydbD",9
"ynbA",1
"ynbB",1
"ynbC",22
"ynbD",25
"azoR",130
"hrpA",745
"ydcF",143
"aldA",1011
"gapC",1099
"cybB",213
"rydC",14
"ydcA",39
"hokB",24
"mokB",0
"sokB",3
"trg",581
"ydcI",431
"ydcJ",35
"opgD",513
"ydcH",16
"rimL",56
"ydcK",60
"tehA",81
"tehB",246
"ydcL",308
"insP",46
"insQ",188
"ydcO",24
"ydcN",14
"ydcP",360
"yncJ",13
"hicA",9
"hicB",48
"ydcR",155
"ydcS",35
"ydcT",12
"ydcU",21
"ydcV",10
"patD",110
"yncL",15
"ydcX",20
"ydcY",120
"ydcZ",119
"mnaT",182
"curA",177
"mcbR",38
"yncD",120
"yncE",6805
"ansP",73
"yncG",18
"yncH",2
"rhsE",5
"ydcD",3
"yncI",8
"ydcC",2
"pptA",10
"yddH",42
"nhoA",77
"yddE",173
"narV",17
"narW",10
"narY",21
"narZ",65
"narU",4
"yddK",2
"yddL",0
"yddG",36
"fdnG",11
"fdnH",6
"fdnI",6
"yddM",40
"adhP",304
"maeA",1006
"sra",273
"bdm",3
"osmC",554
"ddpF",116
"ddpD",14
"ddpC",8
"ddpB",10
"ddpA",33
"ddpX",10
"dosP",300
"dosC",305
"yddW",99
"gadC",237
"gadB",74
"pqqL",478
"yddB",332
"yddA",88
"ydeM",5
"ydeN",28
"ydeO",1
"safA",0
"ydeP",61
"ydeQ",3
"ydeR",0
"ydeS",2
"ydeT",7
"yneL",1
"hipA",105
"hipB",22
"yneO",231
"lsrK",52
"lsrR",67
"lsrA",11
"lsrC",7
"lsrD",6
"lsrB",24
"lsrF",28
"lsrG",25
"tam",62
"yneE",71
"uxaB",18
"yneF",43
"yneG",83
"glsB",105
"sad",172
"yneJ",51
"yneK",5
"ydeA",136
"marC",66
"marR",38
"marA",75
"marB",82
"eamA",268
"ydeE",63
"yneM",91
"mgrR",14
"dgcZ",113
"ydeI",11
"ydeJ",50
"dcp",951
"ydfG",689
"rspR",237
"ydfZ",17
"ydfI",18
"ydfJ",480
"ydfK",0
"pinQ",0
"tfaQ",0
"stfQ",0
"nohQ",0
"ynfO",0
"ydfO",0
"gnsB",0
"ynfN",0
"cspI",0
"rzpQ",0
"rzoQ",0
"rrrQ",0
"ydfR",0
"essQ",0
"cspB",0
"cspF",0
"quuQ",0
"ydfU",0
"rem",0
"hokD",0
"relE",0
"relB",0
"ydfV",0
"flxA",0
"intK",0
"ydfX",0
"dicC",0
"dicA",0
"ydfA",0
"ydfB",0
"ydfC",0
"dicF",0
"dicB",0
"ydfD",0
"ydfE",0
"intQ",0
"rspB",15
"rspA",2
"ynfA",18
"ynfB",219
"speG",275
"ynfC",127
"ynfD",25
"ynfE",42
"ynfF",34
"ynfG",9
"ynfH",22
"dmsD",129
"clcB",32
"ynfK",36
"mlc",234
"ynfL",29
"ynfM",111
"asr",16
"ydgU",4
"ydgD",164
"mdtI",16
"mdtJ",19
"tqsA",105
"pntB",8490
"pntA",9230
"ydgH",1059
"ydgI",47
"folM",142
"ydgC",64
"rstA",284
"rstB",302
"tus",79
"fumC",291
"fumA",361
"manA",430
"ydgA",1386
"uidC",3
"uidB",5
"uidA",11
"uidR",130
"hdhA",272
"malI",51
"malX",49
"malY",160
"add",167
"ydgJ",473
"blr",7
"cnu",36
"ydgK",104
"rsxA",142
"rsxB",128
"rsxC",503
"rsxD",120
"rsxG",75
"rsxE",77
"nth",81
"dtpA",45
"gstA",346
"pdxY",416
"tyrS",1578
"pdxH",328
"mliC",23
"anmK",192
"slyB",1586
"slyA",450
"ydhI",13
"ydhJ",25
"ydhK",76
"sodC",152
"ydhF",195
"ydhL",7
"nemR",44
"nemA",293
"gloA",443
"rnt",145
"lhr",422
"grxD",321
"mepH",88
"sodB",126
"ydhP",146
"ynhF",24
"purR",896
"ydhB",109
"ydhC",32
"cfa",1297
"ribC",353
"mdtK",315
"ydhQ",492
"valV",0
"valW",3
"ydhR",211
"ydhS",116
"ydhT",16
"ydhU",15
"ydhX",14
"ydhW",9
"ydhV",15
"ydhY",1
"ydhZ",26
"pykF",2499
"lpp",19551
"ldtE",580
"sufE",296
"sufS",1095
"sufD",1396
"sufC",660
"sufB",1658
"sufA",216
"rydB",15
"ydiH",69
"menI",164
"ydiJ",1428
"ydiK",319
"rprA",2
"ydiL",0
"ydiM",4
"ydiN",3
"ydiB",4
"aroD",220
"ydiF",8
"ydiO",11
"ydiP",36
"ydiQ",7
"ydiR",12
"ydiS",10
"ydiT",3
"fadK",48
"ppsA",2954
"ppsR",238
"aroH",492
"ydiE",47
"ydiU",487
"ydiV",124
"nlpC",177
"btuD",247
"btuE",231
"btuC",109
"ihfA",1885
"pheT",3455
"pheS",1385
"pheM",39
"rplT",6151
"rpmI",5241
"infC",5030
"thrS",5968
"arpB",4
"yniD",1
"ydiY",162
"pfkB",79
"ydiZ",69
